DRUG_NAME,TARGET,TARGET_PATHWAY,TCGA_DESC,GDSC_TISSUE_DESCRIPTOR_2,CANCER_TYPE_MATCHING_TCGA_LABEL,SITE,GDSC_TISSUE_DESCRIPTOR_1,AUC
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.681448
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.563406
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.93109
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.674458
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.790187
camptothecin,top1,dna replication,lusc,lung_nsclc_squamous_cell_carcinoma,lusc,lung,lung_nsclc,0.892726
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.818146
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.805844
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.96067
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.944848
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.967261
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.97016
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.820913
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.755037
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.948815
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.972048
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.864559
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.960626
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.824799
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.677998
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.637698
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.894409
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.905564
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.890563
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.91165
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.916548
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.96454
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.878948
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.860801
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.62413
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.862071
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.726434
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.958313
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.815343
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.722473
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.673619
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.897726
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.803556
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.880725
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.781024
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.935622
camptothecin,top1,dna replication,prad,prostate,prad,prostate,urogenital_system,0.861456
camptothecin,top1,dna replication,prad,prostate,prad,prostate,urogenital_system,0.80363
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.825735
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.836731
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.671243
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.86242
camptothecin,top1,dna replication,lcml,chronic_myeloid_leukaemia,lcml,haematopoietic_and_lymphoid_tissue,leukemia,0.917933
camptothecin,top1,dna replication,lusc,lung_nsclc_squamous_cell_carcinoma,lusc,lung,lung_nsclc,0.94089
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.871157
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.941693
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.922866
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.87105
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.765933
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.902109
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.776663
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.714079
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.915161
camptothecin,top1,dna replication,all,lymphoblastic_leukemia,all,haematopoietic_and_lymphoid_tissue,leukemia,0.65621
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.882652
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.991518
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.858609
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.938845
camptothecin,top1,dna replication,all,lymphoblastic_leukemia,all,haematopoietic_and_lymphoid_tissue,leukemia,0.608945
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.865832
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.885006
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.917355
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.767887
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.744833
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.741073
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.91564
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.84835
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.932065
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.950543
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.940438
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.814629
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.842204
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.810918
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.76329
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.952921
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.943112
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.914316
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.910076
camptothecin,top1,dna replication,kirc,kidney,kirc,kidney,kidney,0.814708
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.867354
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.75547
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.777902
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.688638
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.79373
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.881188
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.973257
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.817569
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.936516
camptothecin,top1,dna replication,thca,thyroid,thca,thyroid,thyroid,0.766219
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.819907
camptothecin,top1,dna replication,all,lymphoblastic_leukemia,all,haematopoietic_and_lymphoid_tissue,leukemia,0.820188
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.65822
camptothecin,top1,dna replication,stad,stomach,stad,stomach,digestive_system,0.79438
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.844705
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.837241
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.674404
camptothecin,top1,dna replication,thca,thyroid,thca,thyroid,thyroid,0.908949
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.651373
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.579116
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.883584
camptothecin,top1,dna replication,unclassified,ovary,unable to classify,ovary,urogenital_system,0.766556
camptothecin,top1,dna replication,luad,lung_nsclc_adenocarcinoma,luad,lung,lung_nsclc,0.950578
camptothecin,top1,dna replication,dlbc,b_cell_lymphoma,dlbc,haematopoietic_and_lymphoid_tissue,lymphoma,0.734246
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.936324
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.962224
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.881325
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.96426
camptothecin,top1,dna replication,esca,oesophagus,esca,oesophagus,aero_dig_tract,0.944682
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.83561
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.72287
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.731646
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.791589
camptothecin,top1,dna replication,ov,ovary,ov,ovary,urogenital_system,0.723831
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.893719
camptothecin,top1,dna replication,thca,thyroid,thca,thyroid,thyroid,0.694642
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.808096
camptothecin,top1,dna replication,dlbc,b_cell_lymphoma,dlbc,haematopoietic_and_lymphoid_tissue,lymphoma,0.644283
camptothecin,top1,dna replication,mb,medulloblastoma,mb,central_nervous_system,nervous_system,0.672081
camptothecin,top1,dna replication,mb,medulloblastoma,mb,central_nervous_system,nervous_system,0.663045
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.886121
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.835716
camptothecin,top1,dna replication,gbm,glioma,gbm,central_nervous_system,nervous_system,0.968412
camptothecin,top1,dna replication,dlbc,b_cell_lymphoma,dlbc,haematopoietic_and_lymphoid_tissue,lymphoma,0.518781
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.847809
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.699634
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.962881
camptothecin,top1,dna replication,lcml,chronic_myeloid_leukaemia,lcml,haematopoietic_and_lymphoid_tissue,leukemia,0.697077
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.966714
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.713113
camptothecin,top1,dna replication,thca,thyroid,thca,thyroid,thyroid,0.728576
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.909646
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.852784
camptothecin,top1,dna replication,stad,stomach,stad,stomach,digestive_system,0.815831
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.677513
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.747848
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.924665
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.683557
camptothecin,top1,dna replication,all,lymphoblastic_leukemia,all,haematopoietic_and_lymphoid_tissue,leukemia,0.693812
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.635642
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.991275
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.959777
camptothecin,top1,dna replication,brca,breast,brca,breast,breast,0.98317
camptothecin,top1,dna replication,ucec,endometrium,ucec,endometrium,urogenital_system,0.982968
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.747627
camptothecin,top1,dna replication,stad,stomach,stad,stomach,digestive_system,0.845006
camptothecin,top1,dna replication,lihc,liver,lihc,liver,digestive_system,0.779222
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.872779
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.722097
camptothecin,top1,dna replication,hnsc,head and neck,hnsc,upper_aerodigestive_tract,aero_dig_tract,0.806873
camptothecin,top1,dna replication,dlbc,b_cell_lymphoma,dlbc,haematopoietic_and_lymphoid_tissue,lymphoma,0.883423
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.901834
camptothecin,top1,dna replication,blca,bladder,blca,urinary_tract,urogenital_system,0.984968
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.896029
camptothecin,top1,dna replication,cesc,cervix,cesc,cervix,urogenital_system,0.781032
camptothecin,top1,dna replication,lihc,liver,lihc,liver,digestive_system,0.980713
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.9472
camptothecin,top1,dna replication,nb,neuroblastoma,nb,autonomic_ganglia,neuroblastoma,0.638899
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.874535
camptothecin,top1,dna replication,skcm,melanoma,skcm,skin,skin,0.811254
camptothecin,top1,dna replication,meso,mesothelioma,meso,pleura,lung,0.84544
camptothecin,top1,dna replication,cll,lymphoid_neoplasm other,cll,haematopoietic_and_lymphoid_tissue,lymphoma,0.610751
camptothecin,top1,dna replication,cll,lymphoid_neoplasm other,cll,haematopoietic_and_lymphoid_tissue,lymphoma,0.526142
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.935001
camptothecin,top1,dna replication,all,lymphoblastic_leukemia,all,haematopoietic_and_lymphoid_tissue,leukemia,0.95886
camptothecin,top1,dna replication,dlbc,b_cell_lymphoma,dlbc,haematopoietic_and_lymphoid_tissue,lymphoma,0.820796
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.844249
camptothecin,top1,dna replication,stad,stomach,stad,stomach,digestive_system,0.974043
camptothecin,top1,dna replication,all,lymphoblastic_leukemia,all,haematopoietic_and_lymphoid_tissue,leukemia,0.623336
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.800054
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.957235
camptothecin,top1,dna replication,laml,acute_myeloid_leukaemia,laml,haematopoietic_and_lymphoid_tissue,leukemia,0.855957
camptothecin,top1,dna replication,mm,myeloma,mm,haematopoietic_and_lymphoid_tissue,myeloma,0.877316
camptothecin,top1,dna replication,lgg,glioma,lgg,central_nervous_system,nervous_system,0.910249
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.899681
camptothecin,top1,dna replication,paad,pancreas,paad,pancreas,pancreas,0.713835
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.940453
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.937547
camptothecin,top1,dna replication,coread,large_intestine,coad/read,large_intestine,large_intestine,0.813876
camptothecin,top1,dna replication,sclc,lung_small_cell_carcinoma,sclc,lung,lung_sclc,0.79246
